"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/05","07:00","0.519","-","0.67"
"2023/12/05","07:06","0.523","-","0.712"
"2023/12/05","07:12","0.527","-","0.737"
"2023/12/05","07:18","0.531","-","0.702"
"2023/12/05","07:24","0.536","-","0.676"
"2023/12/05","07:30","0.54","-","0.69"
"2023/12/05","07:36","0.544","-","0.665"
"2023/12/05","07:42","0.548","-","0.678"
"2023/12/05","07:48","0.551","-","0.679"
"2023/12/05","07:54","0.555","-","0.692"
"2023/12/05","08:00","0.559","-","0.688"
"2023/12/05","08:06","0.562","-","0.696"
"2023/12/05","08:12","0.565","-","0.723"
"2023/12/05","08:18","0.568","-","0.709"
"2023/12/05","08:24","0.571","-","0.721"
"2023/12/05","08:30","0.574","-","0.745"
"2023/12/05","08:36","0.576","-","0.72"
"2023/12/05","08:42","0.578","-","0.754"
"2023/12/05","08:48","0.58","-","0.739"
"2023/12/05","08:54","0.582","-","0.733"
"2023/12/05","09:00","0.584","-","0.736"
"2023/12/05","09:06","0.585","-","0.74"
"2023/12/05","09:12","0.586","-","0.73"
"2023/12/05","09:18","0.586","-","0.717"
"2023/12/05","09:24","0.587","-","0.726"
"2023/12/05","09:30","0.587","-","0.723"
"2023/12/05","09:36","0.587","-","0.727"
"2023/12/05","09:42","0.586","-","0.725"
"2023/12/05","09:48","0.585","-","0.723"
"2023/12/05","09:54","0.584","-","0.735"
"2023/12/05","10:00","0.582","-","0.734"
"2023/12/05","10:06","0.58","-","0.725"
"2023/12/05","10:12","0.578","-","0.707"
"2023/12/05","10:18","0.576","-","0.711"
"2023/12/05","10:24","0.573","-","0.713"
"2023/12/05","10:30","0.569","-","0.689"
"2023/12/05","10:36","0.566","-","0.697"
"2023/12/05","10:42","0.562","-","0.696"
"2023/12/05","10:48","0.558","-","0.682"
"2023/12/05","10:54","0.553","-","0.695"
"2023/12/05","11:00","0.548","-","0.682"
"2023/12/05","11:06","0.543","-","0.678"
"2023/12/05","11:12","0.537","-","0.65"
"2023/12/05","11:18","0.532","-","0.654"
"2023/12/05","11:24","0.525","-","0.643"
"2023/12/05","11:30","0.519","-","0.643"
"2023/12/05","11:36","0.512","-","0.631"
"2023/12/05","11:42","0.505","-","0.599"
"2023/12/05","11:48","0.498","-","0.602"
"2023/12/05","11:54","0.491","-","0.607"
"2023/12/05","12:00","0.483","-","0.603"
"2023/12/05","12:06","0.475","-","0.603"
"2023/12/05","12:12","0.467","-","0.608"
